Id;aÁoes;ativo;fechamento_ajustado
1;ACARACOACARAPNA_PNA;ACCC5L;0.00
2;ADVANCED-DH_ON;ADHM3;0.00
3;ADVANCED-DH_ON;ADHM1;0.00
4;ADVANCED-DH_ON;ADHM9;0.00
5;Aeris_Industria_E_Comerc..._ON;AERI3;0.00
6;AES_TIETÊ_ON;TIET3;0.00
7;AES_TIETE_E;TIET-DEB43L1;0.00
8;AES_TIETÊ_PN;TIET4;0.00
9;AES_TIETE_E;TIET-DEB43B0;0.00
10;AES_TIETE_E;TIET-DEB43L0;0.00
11;AFLUENTE_ON;AFLT3;0.00
12;Agro_Industrial_De_Cerea..._PNB;AGVE6L;0.00
13;Agro_Industrial_De_Cerea..._PNA;AGVE5L;0.00
14;Agro_Pontal_PNA_PNA;AGPP5L;0.00
15;Agroindustrial_e_Pastori..._PNA;AIPN5L;0.00
16;AGROMASSA_PNA_PNA;ARSA5L;0.00
17;Agropecuaria_Belo_Horizo..._PNA;AGBH5L;0.00
18;Agropecuaria_Ricastro_PNA;RCRO5L;0.00
19;Agropecuaria_Santa_Rosa_PNA;AGSR5L;0.00
20;Agropecuaria_Serra_Azul_PNA;AGSA5L;0.00
21;Agropecuaria_Vale_Rio_Acre_PNA;VLRA5L;0.00
22;Agropecuaria_Vale_Rio_Acre_PNC;VLRA7L;0.00
23;Alef_ON;ALEF3B;0.00
24;ALFA_ON;RPAD3;0.00
25;ALFA_PNA;RPAD5;0.00
26;ALFA_PNB;RPAD6;0.00
27;Allpark_Empreendimentos_..._ON;ALPK3;0.00
28;ALPER_ON;APER1;0.00
29;ALPER_ON;APER9;0.00
30;ALPER_ON;APER3;0.00
31;Alphaville_ON;AVLL3;0.00
32;Alphaville_ON;AVLL11;0.00
33;Alumazon_Componentes_Ama..._PNA;ALMZ5L;0.00
34;Aluminio_Extrudado_Brasi..._PN;ALMN4L;0.00
35;ALUPAR_PN;ALUP4;0.00
36;ALUPAR_ON;ALUP3;0.00
37;Amazon_Golf_PNA;AZGT5L;0.00
38;AMBEV_S/A_ON;ABEV3;0.00
39;Ambipar_Participacoes_e_..._ON;AMBP3;0.00
40;AMPLA_ENERG_ON;CBEE3;0.00
41;Andrade_Gutierrez_Partic..._ON;CANT3;0.00
42;Andrade_Gutierrez_Partic..._PN;CANT4;0.00
43;Andrade_Gutierrez_Partic..._PN;CANT4B;0.00
44;Andrade_Gutierrez_Partic..._ON;CANT3B;0.00
45;Angelica_Pna_PNA;SAIS5L;0.00
46;ANIMA_ON;ANIM3;0.00
47;APIACAS_PNA_PNA;APAK5L;0.00
48;Araguaia_PNB;AHEV6L;0.00
49;AREZZO_ON;ARZZ3;0.00
50;Arteris;ARTR-DEB53L0;0.00
51;Arteris;ARTR-DEB53L1;0.00
52;Arteris;ARTR-DEB53B0;0.00
53;Arteris;ARTR-DEB530B;0.00
54;ATMA_ON;ATMP3;0.00
55;ATOMPAR_ON;ATOM3;0.00
56;Avicola_Princesa_PNA;AVIP5L;0.00
57;AZEVEDO_PN;AZEV4;0.00
58;AZEVEDO_ON;AZEV3;0.00
59;AZEVEDO_PN;AZEV2;0.00
60;AZEVEDO_ON;AZEV1;0.00
61;AZUL_PN;AZUL4;0.00
62;B2W_DIGITAL_ON;BTOW9;0.00
63;B2W_DIGITAL_ON;BTOW1;0.00
64;B2W_DIGITAL_ON;BTOW3;0.00
65;B3_SA_-_Brasil_Bolsa_Bal..._ON;B3SA3;0.00
66;BAHEMA_ON;BAHI9;0.00
67;BAHEMA_EDUCAÇÃO_ON;BAHI3;0.00
68;BMG_PN;BMGB4;0.00
69;BTG_PACTUAL_PNA;BPAC5;0.00
70;BTG_PACTUAL_ON;BPAC3;0.00
71;BTG_PACTUAL_ON;BPAC9;0.00
72;BTG_PACTUAL_PNA;BPAC12;0.00
73;BANCO_INTER_PN;BIDI15;0.00
74;BANCO_INTER_ON;BIDI14;0.00
75;BANCO_INTER_PN;BIDI10;0.00
76;BANCO_INTER;BIDI16;0.00
77;BANCO_INTER;BIDI13;0.00
78;BANCO_INTER_PN;BIDI2;0.00
79;BANCO_INTER_ON;BIDI9;0.00
80;BANCO_INTER_PN;BIDI4;0.00
81;BANCO_INTER_ON;BIDI3;0.00
82;BANCO_INTER_ON;BIDI1;0.00
83;BANCO_INTER;BIDI12;0.00
84;BANCO_PAN_PN;BPAN10;0.00
85;BANCO_PAN_PN;BPAN4;0.00
86;SANTANDER_BR_ON;SANB3;0.00
87;SANTANDER_BR_PN;SANB4;0.00
